[2022-10-16 13:47:33.491892] [0x0000a8b8] [info] Start launching threads
[2022-10-16 13:47:33.524348] [0x00002938] [info] Thread in process, please stand by
[2022-10-16 13:47:34.075505] [0x0000bb08] [info] Thread in process, please stand by
[2022-10-16 13:47:34.075505] [0x0000bb0c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.074506] [0x0000bb04] [info] Thread in process, please stand by
[2022-10-16 13:47:34.076505] [0x0000bb10] [info] Thread in process, please stand by
[2022-10-16 13:47:34.077505] [0x0000bb14] [info] Thread in process, please stand by
[2022-10-16 13:47:34.078506] [0x0000bb18] [info] Thread in process, please stand by
[2022-10-16 13:47:34.079506] [0x0000bb1c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.081504] [0x0000bb20] [info] Thread in process, please stand by
[2022-10-16 13:47:34.081504] [0x0000bb24] [info] Thread in process, please stand by
[2022-10-16 13:47:34.082504] [0x0000bb28] [info] Thread in process, please stand by
[2022-10-16 13:47:34.083504] [0x0000bb2c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.083504] [0x0000bb30] [info] Thread in process, please stand by
[2022-10-16 13:47:34.085504] [0x0000bb34] [info] Thread in process, please stand by
[2022-10-16 13:47:34.086507] [0x0000bb38] [info] Thread in process, please stand by
[2022-10-16 13:47:34.086507] [0x0000bb3c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.087505] [0x0000bb40] [info] Thread in process, please stand by
[2022-10-16 13:47:34.088506] [0x0000bb44] [info] Thread in process, please stand by
[2022-10-16 13:47:34.089505] [0x0000bb48] [info] Thread in process, please stand by
[2022-10-16 13:47:34.090505] [0x0000bb4c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.090505] [0x0000bb50] [info] Thread in process, please stand by
[2022-10-16 13:47:34.092504] [0x0000bb54] [info] Thread in process, please stand by
[2022-10-16 13:47:34.092504] [0x0000bb58] [info] Thread in process, please stand by
[2022-10-16 13:47:34.093504] [0x0000bb5c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.094505] [0x0000bb64] [info] Thread in process, please stand by
[2022-10-16 13:47:34.094505] [0x0000bb60] [info] Thread in process, please stand by
[2022-10-16 13:47:34.096505] [0x0000bb68] [info] Thread in process, please stand by
[2022-10-16 13:47:34.096505] [0x0000bb6c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.097505] [0x0000bb70] [info] Thread in process, please stand by
[2022-10-16 13:47:34.098505] [0x0000bb74] [info] Thread in process, please stand by
[2022-10-16 13:47:34.099506] [0x0000bb78] [info] Thread in process, please stand by
[2022-10-16 13:47:34.100505] [0x0000bb7c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.101505] [0x0000bb80] [info] Thread in process, please stand by
[2022-10-16 13:47:34.102510] [0x0000bb88] [info] Thread in process, please stand by
[2022-10-16 13:47:34.102510] [0x0000bb84] [info] Thread in process, please stand by
[2022-10-16 13:47:34.102510] [0x0000bb8c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.103505] [0x0000bb90] [info] Thread in process, please stand by
[2022-10-16 13:47:34.105504] [0x0000bb94] [info] Thread in process, please stand by
[2022-10-16 13:47:34.107504] [0x0000bb9c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.107504] [0x0000bb98] [info] Thread in process, please stand by
[2022-10-16 13:47:34.107504] [0x0000bba0] [info] Thread in process, please stand by
[2022-10-16 13:47:34.108504] [0x0000bba8] [info] Thread in process, please stand by
[2022-10-16 13:47:34.109504] [0x0000bbac] [info] Thread in process, please stand by
[2022-10-16 13:47:34.109504] [0x0000bbb0] [info] Thread in process, please stand by
[2022-10-16 13:47:34.110504] [0x0000bbb4] [info] Thread in process, please stand by
[2022-10-16 13:47:34.111503] [0x0000bbb8] [info] Thread in process, please stand by
[2022-10-16 13:47:34.112505] [0x0000bbbc] [info] Thread in process, please stand by
[2022-10-16 13:47:34.113506] [0x0000bbc0] [info] Thread in process, please stand by
[2022-10-16 13:47:34.113506] [0x0000bbc4] [info] Thread in process, please stand by
[2022-10-16 13:47:34.115509] [0x0000bbc8] [info] Thread in process, please stand by
[2022-10-16 13:47:34.115509] [0x0000bbcc] [info] Thread in process, please stand by
[2022-10-16 13:47:34.117504] [0x0000bbd0] [info] Thread in process, please stand by
[2022-10-16 13:47:34.117504] [0x0000bbd4] [info] Thread in process, please stand by
[2022-10-16 13:47:34.119504] [0x0000bbd8] [info] Thread in process, please stand by
[2022-10-16 13:47:34.119504] [0x0000bbdc] [info] Thread in process, please stand by
[2022-10-16 13:47:34.120505] [0x0000bbe0] [info] Thread in process, please stand by
[2022-10-16 13:47:34.120505] [0x0000bbe4] [info] Thread in process, please stand by
[2022-10-16 13:47:34.121505] [0x0000bbe8] [info] Thread in process, please stand by
[2022-10-16 13:47:34.123503] [0x0000bbec] [info] Thread in process, please stand by
[2022-10-16 13:47:34.123503] [0x0000bbf0] [info] Thread in process, please stand by
[2022-10-16 13:47:34.124504] [0x0000bbf4] [info] Thread in process, please stand by
[2022-10-16 13:47:34.125504] [0x0000bbf8] [info] Thread in process, please stand by
[2022-10-16 13:47:34.125504] [0x0000bbfc] [info] Thread in process, please stand by
[2022-10-16 13:47:34.127506] [0x0000bc04] [info] Thread in process, please stand by
[2022-10-16 13:47:34.128507] [0x0000bc08] [info] Thread in process, please stand by
[2022-10-16 13:47:34.129506] [0x0000bc0c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.129506] [0x0000bc10] [info] Thread in process, please stand by
[2022-10-16 13:47:34.130506] [0x0000bc14] [info] Thread in process, please stand by
[2022-10-16 13:47:34.131505] [0x0000bc18] [info] Thread in process, please stand by
[2022-10-16 13:47:34.132505] [0x0000bc1c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.133505] [0x0000bc24] [info] Thread in process, please stand by
[2022-10-16 13:47:34.133505] [0x0000bc20] [info] Thread in process, please stand by
[2022-10-16 13:47:34.135505] [0x0000bc28] [info] Thread in process, please stand by
[2022-10-16 13:47:34.135505] [0x0000bc2c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.137504] [0x0000bc30] [info] Thread in process, please stand by
[2022-10-16 13:47:34.137504] [0x0000bc34] [info] Thread in process, please stand by
[2022-10-16 13:47:34.138505] [0x0000bc38] [info] Thread in process, please stand by
[2022-10-16 13:47:34.141505] [0x0000bc3c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.141505] [0x0000bc40] [info] Thread in process, please stand by
[2022-10-16 13:47:34.141505] [0x0000bc48] [info] Thread in process, please stand by
[2022-10-16 13:47:34.141505] [0x0000bc44] [info] Thread in process, please stand by
[2022-10-16 13:47:34.142505] [0x0000bc4c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.143506] [0x0000bc50] [info] Thread in process, please stand by
[2022-10-16 13:47:34.145505] [0x0000bc58] [info] Thread in process, please stand by
[2022-10-16 13:47:34.145505] [0x0000bc54] [info] Thread in process, please stand by
[2022-10-16 13:47:34.146508] [0x0000bc5c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.148504] [0x0000bc60] [info] Thread in process, please stand by
[2022-10-16 13:47:34.149505] [0x0000bc68] [info] Thread in process, please stand by
[2022-10-16 13:47:34.148504] [0x0000bc64] [info] Thread in process, please stand by
[2022-10-16 13:47:34.149505] [0x0000bc6c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.150504] [0x0000bc70] [info] Thread in process, please stand by
[2022-10-16 13:47:34.151504] [0x0000bc7c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.151504] [0x0000bc80] [info] Thread in process, please stand by
[2022-10-16 13:47:34.153504] [0x0000bc84] [info] Thread in process, please stand by
[2022-10-16 13:47:34.153504] [0x0000bc90] [info] Thread in process, please stand by
[2022-10-16 13:47:34.154509] [0x0000bc94] [info] Thread in process, please stand by
[2022-10-16 13:47:34.155505] [0x0000bc98] [info] Thread in process, please stand by
[2022-10-16 13:47:34.156505] [0x0000bca4] [info] Thread in process, please stand by
[2022-10-16 13:47:34.157504] [0x0000bcac] [info] Thread in process, please stand by
[2022-10-16 13:47:34.158504] [0x0000bcbc] [info] Thread in process, please stand by
[2022-10-16 13:47:34.159505] [0x0000bcc0] [info] Thread in process, please stand by
[2022-10-16 13:47:34.160506] [0x0000bcc4] [info] Thread in process, please stand by
[2022-10-16 13:47:34.161504] [0x0000bcc8] [info] Thread in process, please stand by
[2022-10-16 13:47:34.162505] [0x0000bcd0] [info] Thread in process, please stand by
[2022-10-16 13:47:34.162505] [0x0000bcd4] [info] Thread in process, please stand by
[2022-10-16 13:47:34.163505] [0x0000bcd8] [info] Thread in process, please stand by
[2022-10-16 13:47:34.165504] [0x0000bcdc] [info] Thread in process, please stand by
[2022-10-16 13:47:34.165504] [0x0000bce0] [info] Thread in process, please stand by
[2022-10-16 13:47:34.166504] [0x0000bce4] [info] Thread in process, please stand by
[2022-10-16 13:47:34.167513] [0x0000bce8] [info] Thread in process, please stand by
[2022-10-16 13:47:34.168504] [0x0000bcec] [info] Thread in process, please stand by
[2022-10-16 13:47:34.169506] [0x0000bcf8] [info] Thread in process, please stand by
[2022-10-16 13:47:34.169506] [0x0000bd08] [info] Thread in process, please stand by
[2022-10-16 13:47:34.172506] [0x0000bd10] [info] Thread in process, please stand by
[2022-10-16 13:47:34.171505] [0x0000bd0c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.172506] [0x0000bd14] [info] Thread in process, please stand by
[2022-10-16 13:47:34.173505] [0x0000bd18] [info] Thread in process, please stand by
[2022-10-16 13:47:34.175509] [0x0000bd1c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.175509] [0x0000bd20] [info] Thread in process, please stand by
[2022-10-16 13:47:34.176504] [0x0000bd24] [info] Thread in process, please stand by
[2022-10-16 13:47:34.176504] [0x0000bd28] [info] Thread in process, please stand by
[2022-10-16 13:47:34.177504] [0x0000bd2c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.178504] [0x0000bd30] [info] Thread in process, please stand by
[2022-10-16 13:47:34.179504] [0x0000bd34] [info] Thread in process, please stand by
[2022-10-16 13:47:34.179504] [0x0000bd38] [info] Thread in process, please stand by
[2022-10-16 13:47:34.181506] [0x0000bd3c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.182505] [0x0000bd40] [info] Thread in process, please stand by
[2022-10-16 13:47:34.182505] [0x0000bd44] [info] Thread in process, please stand by
[2022-10-16 13:47:34.184505] [0x0000bd48] [info] Thread in process, please stand by
[2022-10-16 13:47:34.184505] [0x0000bd4c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.185505] [0x0000bd50] [info] Thread in process, please stand by
[2022-10-16 13:47:34.186504] [0x0000bd54] [info] Thread in process, please stand by
[2022-10-16 13:47:34.187504] [0x0000bd58] [info] Thread in process, please stand by
[2022-10-16 13:47:34.187504] [0x0000bd5c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.190504] [0x0000bd60] [info] Thread in process, please stand by
[2022-10-16 13:47:34.191504] [0x0000bd68] [info] Thread in process, please stand by
[2022-10-16 13:47:34.191504] [0x0000bd64] [info] Thread in process, please stand by
[2022-10-16 13:47:34.191504] [0x0000bd6c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.193504] [0x0000bd70] [info] Thread in process, please stand by
[2022-10-16 13:47:34.194505] [0x0000bd74] [info] Thread in process, please stand by
[2022-10-16 13:47:34.195505] [0x0000bd78] [info] Thread in process, please stand by
[2022-10-16 13:47:34.195505] [0x0000bd7c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.198505] [0x0000bd84] [info] Thread in process, please stand by
[2022-10-16 13:47:34.197507] [0x0000bd80] [info] Thread in process, please stand by
[2022-10-16 13:47:34.199505] [0x0000bd88] [info] Thread in process, please stand by
[2022-10-16 13:47:34.199505] [0x0000bd8c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.201505] [0x0000bd90] [info] Thread in process, please stand by
[2022-10-16 13:47:34.201505] [0x0000bd94] [info] Thread in process, please stand by
[2022-10-16 13:47:34.202504] [0x0000bd98] [info] Thread in process, please stand by
[2022-10-16 13:47:34.206504] [0x0000bd9c] [info] Thread in process, please stand by
[2022-10-16 13:47:34.207504] [0x0000bda0] [info] Thread in process, please stand by
[2022-10-16 13:47:34.209504] [0x0000bda8] [info] Thread in process, please stand by
[2022-10-16 13:47:34.208504] [0x0000bda4] [info] Thread in process, please stand by
[2022-10-16 13:47:34.210504] [0x0000bdb0] [info] Thread in process, please stand by
[2022-10-16 13:47:34.209504] [0x0000bdac] [info] Thread in process, please stand by
[2022-10-16 13:47:34.211505] [0x0000bdb4] [info] Thread in process, please stand by
[2022-10-16 13:47:34.211505] [0x0000bdb8] [info] Thread in process, please stand by
[2022-10-16 13:47:34.213504] [0x0000bdc4] [info] Thread in process, please stand by
[2022-10-16 13:47:34.213504] [0x0000bdc8] [info] Thread in process, please stand by
[2022-10-16 13:47:34.214505] [0x0000bdcc] [info] Thread in process, please stand by
[2022-10-16 13:47:34.214505] [0x0000bdd0] [info] Thread in process, please stand by
[2022-10-16 13:47:34.215504] [0x0000a8b8] [info] Start launching sync threads
[2022-10-16 13:47:34.215504] [0x0000bdd4] [info] Thread in process, please stand by
[2022-10-16 13:47:34.216504] [0x0000bdd8] [info] Thread has been released
[2022-10-16 13:47:34.219504] [0x00002938] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.220505] [0x0000bddc] [info] Thread has been released
[2022-10-16 13:47:34.223505] [0x0000bde0] [info] Thread has been released
[2022-10-16 13:47:34.224505] [0x0000bde4] [info] Thread has been released
[2022-10-16 13:47:34.225504] [0x00003188] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.230504] [0x0000bde8] [info] Thread has been released
[2022-10-16 13:47:34.232504] [0x0000bdec] [info] Thread has been released
[2022-10-16 13:47:34.234505] [0x0000298c] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.237504] [0x0000bdf0] [info] Thread has been released
[2022-10-16 13:47:34.239505] [0x000029ec] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.241504] [0x0000bdf4] [info] Thread has been released
[2022-10-16 13:47:34.242505] [0x0000bdf8] [info] Thread has been released
[2022-10-16 13:47:34.243504] [0x0000be34] [info] Thread has been released
[2022-10-16 13:47:34.244504] [0x0000be00] [info] Thread has been released
[2022-10-16 13:47:34.246505] [0x0000be04] [info] Thread has been released
[2022-10-16 13:47:34.248504] [0x00002964] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.253506] [0x0000be08] [info] Thread has been released
[2022-10-16 13:47:34.254506] [0x0000be0c] [info] Thread has been released
[2022-10-16 13:47:34.257505] [0x000029a4] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.261504] [0x0000be10] [info] Thread has been released
[2022-10-16 13:47:34.262504] [0x0000be14] [info] Thread has been released
[2022-10-16 13:47:34.264506] [0x0000be18] [info] Thread has been released
[2022-10-16 13:47:34.265505] [0x00002a80] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.267505] [0x0000be1c] [info] Thread has been released
[2022-10-16 13:47:34.270242] [0x0000be20] [info] Thread has been released
[2022-10-16 13:47:34.270242] [0x0000be24] [info] Thread has been released
[2022-10-16 13:47:34.271243] [0x0000be28] [info] Thread has been released
[2022-10-16 13:47:34.271243] [0x00002c08] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.273242] [0x0000be2c] [info] Thread has been released
[2022-10-16 13:47:34.276243] [0x00002a9c] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.279241] [0x00002af4] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.280242] [0x0000bea8] [info] Thread has been released
[2022-10-16 13:47:34.282242] [0x0000be30] [info] Thread has been released
[2022-10-16 13:47:34.284243] [0x00002a18] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.287242] [0x000033b4] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.294246] [0x0000be38] [info] Thread has been released
[2022-10-16 13:47:34.297242] [0x0000be3c] [info] Thread has been released
[2022-10-16 13:47:34.298244] [0x0000be40] [info] Thread has been released
[2022-10-16 13:47:34.300242] [0x0000be44] [info] Thread has been released
[2022-10-16 13:47:34.301242] [0x0000be48] [info] Thread has been released
[2022-10-16 13:47:34.303242] [0x00002b60] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.307244] [0x0000bf08] [info] Thread has been released
[2022-10-16 13:47:34.308243] [0x0000bf14] [info] Thread has been released
[2022-10-16 13:47:34.310242] [0x00002c64] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.314243] [0x0000be54] [info] Thread has been released
[2022-10-16 13:47:34.316242] [0x0000be58] [info] Thread has been released
[2022-10-16 13:47:34.317242] [0x0000be5c] [info] Thread has been released
[2022-10-16 13:47:34.318242] [0x0000be60] [info] Thread has been released
[2022-10-16 13:47:34.319243] [0x00002d30] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.324243] [0x0000be64] [info] Thread has been released
[2022-10-16 13:47:34.325243] [0x0000bf50] [info] Thread has been released
[2022-10-16 13:47:34.327243] [0x00003014] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.333243] [0x0000be6c] [info] Thread has been released
[2022-10-16 13:47:34.335243] [0x0000bf74] [info] Thread has been released
[2022-10-16 13:47:34.336243] [0x0000be70] [info] Thread has been released
[2022-10-16 13:47:34.337242] [0x0000be74] [info] Thread has been released
[2022-10-16 13:47:34.339244] [0x000032bc] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.343242] [0x0000be78] [info] Thread has been released
[2022-10-16 13:47:34.344241] [0x0000be7c] [info] Thread has been released
[2022-10-16 13:47:34.345242] [0x0000be80] [info] Thread has been released
[2022-10-16 13:47:34.348244] [0x00003054] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.351244] [0x00003114] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.353243] [0x0000bfb4] [info] Thread has been released
[2022-10-16 13:47:34.357243] [0x00002f28] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.361243] [0x0000be8c] [info] Thread has been released
[2022-10-16 13:47:34.362243] [0x0000be88] [info] Thread has been released
[2022-10-16 13:47:34.364244] [0x0000be90] [info] Thread has been released
[2022-10-16 13:47:34.365244] [0x0000be94] [info] Thread has been released
[2022-10-16 13:47:34.367242] [0x0000be98] [info] Thread has been released
[2022-10-16 13:47:34.368870] [0x0000be9c] [info] Thread has been released
[2022-10-16 13:47:34.370872] [0x0000bea0] [info] Thread has been released
[2022-10-16 13:47:34.374872] [0x0000bea4] [info] Thread has been released
[2022-10-16 13:47:34.374872] [0x0000bdfc] [info] Thread has been released
[2022-10-16 13:47:34.377870] [0x00002fb0] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.380871] [0x0000beac] [info] Thread has been released
[2022-10-16 13:47:34.380871] [0x0000c01c] [info] Thread has been released
[2022-10-16 13:47:34.381871] [0x0000beb0] [info] Thread has been released
[2022-10-16 13:47:34.383872] [0x0000beb4] [info] Thread has been released
[2022-10-16 13:47:34.385870] [0x0000beb8] [info] Thread has been released
[2022-10-16 13:47:34.386872] [0x0000bebc] [info] Thread has been released
[2022-10-16 13:47:34.387871] [0x0000bec0] [info] Thread has been released
[2022-10-16 13:47:34.389872] [0x0000bec4] [info] Thread has been released
[2022-10-16 13:47:34.390872] [0x0000c038] [info] Thread has been released
[2022-10-16 13:47:34.392872] [0x0000becc] [info] Thread has been released
[2022-10-16 13:47:34.393872] [0x0000bed0] [info] Thread has been released
[2022-10-16 13:47:34.395874] [0x0000c048] [info] Thread has been released
[2022-10-16 13:47:34.396871] [0x0000bed4] [info] Thread has been released
[2022-10-16 13:47:34.397870] [0x0000bed8] [info] Thread has been released
[2022-10-16 13:47:34.400873] [0x0000bedc] [info] Thread has been released
[2022-10-16 13:47:34.402872] [0x0000bee0] [info] Thread has been released
[2022-10-16 13:47:34.403872] [0x00002c90] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.405877] [0x0000bee4] [info] Thread has been released
[2022-10-16 13:47:34.407871] [0x0000bee8] [info] Thread has been released
[2022-10-16 13:47:34.410873] [0x00002e10] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.414870] [0x0000beec] [info] Thread has been released
[2022-10-16 13:47:34.415871] [0x0000bef0] [info] Thread has been released
[2022-10-16 13:47:34.417872] [0x0000c094] [info] Thread has been released
[2022-10-16 13:47:34.419871] [0x0000bef4] [info] Thread has been released
[2022-10-16 13:47:34.421871] [0x00002b18] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.423871] [0x0000bef8] [info] Thread has been released
[2022-10-16 13:47:34.425871] [0x0000c0ac] [info] Thread has been released
[2022-10-16 13:47:34.427871] [0x0000bf00] [info] Thread has been released
[2022-10-16 13:47:34.427871] [0x0000bf04] [info] Thread has been released
[2022-10-16 13:47:34.429871] [0x00003544] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.430871] [0x0000c0c0] [info] Thread has been released
[2022-10-16 13:47:34.432871] [0x0000bf0c] [info] Thread has been released
[2022-10-16 13:47:34.432871] [0x0000bf10] [info] Thread has been released
[2022-10-16 13:47:34.435872] [0x00002e84] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.436871] [0x0000be50] [info] Thread has been released
[2022-10-16 13:47:34.438871] [0x0000bf18] [info] Thread has been released
[2022-10-16 13:47:34.439873] [0x0000bf1c] [info] Thread has been released
[2022-10-16 13:47:34.441872] [0x0000bf20] [info] Thread has been released
[2022-10-16 13:47:34.443871] [0x000033f4] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.444870] [0x0000c0ec] [info] Thread has been released
[2022-10-16 13:47:34.446870] [0x0000bf28] [info] Thread has been released
[2022-10-16 13:47:34.448872] [0x0000bf2c] [info] Thread has been released
[2022-10-16 13:47:34.449872] [0x00002c1c] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.451872] [0x0000c108] [info] Thread has been released
[2022-10-16 13:47:34.454871] [0x000030a0] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.458871] [0x0000bf34] [info] Thread has been released
[2022-10-16 13:47:34.461871] [0x0000389c] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.464872] [0x0000bf38] [info] Thread has been released
[2022-10-16 13:47:34.465871] [0x0000bf3c] [info] Thread has been released
[2022-10-16 13:47:34.466881] [0x0000bf40] [info] Thread has been released
[2022-10-16 13:47:34.468871] [0x0000bf44] [info] Thread has been released
[2022-10-16 13:47:34.470870] [0x000037ac] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.472872] [0x0000bf48] [info] Thread has been released
[2022-10-16 13:47:34.474871] [0x0000bf4c] [info] Thread has been released
[2022-10-16 13:47:34.476871] [0x00003548] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.481871] [0x0000be68] [info] Thread has been released
[2022-10-16 13:47:34.482888] [0x0000bf54] [info] Thread has been released
[2022-10-16 13:47:34.483872] [0x0000bf58] [info] Thread has been released
[2022-10-16 13:47:34.485872] [0x0000bf5c] [info] Thread has been released
[2022-10-16 13:47:34.488871] [0x0000bf60] [info] Thread has been released
[2022-10-16 13:47:34.489870] [0x0000bf64] [info] Thread has been released
[2022-10-16 13:47:34.490871] [0x0000bf68] [info] Thread has been released
[2022-10-16 13:47:34.493871] [0x00003620] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.497871] [0x0000bf6c] [info] Thread has been released
[2022-10-16 13:47:34.500871] [0x00003018] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.502871] [0x0000bf78] [info] Thread has been released
[2022-10-16 13:47:34.503872] [0x0000bf7c] [info] Thread has been released
[2022-10-16 13:47:34.507871] [0x00003d64] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.508870] [0x00003264] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.511873] [0x00003064] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.512873] [0x0000bf80] [info] Thread has been released
[2022-10-16 13:47:34.515871] [0x0000bf84] [info] Thread has been released
[2022-10-16 13:47:34.517871] [0x0000bf88] [info] Thread has been released
[2022-10-16 13:47:34.519872] [0x0000bf8c] [info] Thread has been released
[2022-10-16 13:47:34.522872] [0x0000c1d0] [info] Thread has been released
[2022-10-16 13:47:34.527873] [0x00003d3c] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.533876] [0x0000bf94] [info] Thread has been released
[2022-10-16 13:47:34.535875] [0x0000bf98] [info] Thread has been released
[2022-10-16 13:47:34.536875] [0x000034b4] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.538874] [0x0000bf9c] [info] Thread has been released
[2022-10-16 13:47:34.542872] [0x0000413c] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.549870] [0x0000bfa0] [info] Thread has been released
[2022-10-16 13:47:34.550872] [0x0000bfa4] [info] Thread has been released
[2022-10-16 13:47:34.551871] [0x0000bfa8] [info] Thread has been released
[2022-10-16 13:47:34.553872] [0x0000bfac] [info] Thread has been released
[2022-10-16 13:47:34.554873] [0x0000bfb0] [info] Thread has been released
[2022-10-16 13:47:34.558871] [0x000040c0] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.561871] [0x00003350] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.566871] [0x0000bfb8] [info] Thread has been released
[2022-10-16 13:47:34.568871] [0x0000bfbc] [info] Thread has been released
[2022-10-16 13:47:34.568871] [0x0000bfc0] [info] Thread has been released
[2022-10-16 13:47:34.568871] [0x0000bfc4] [info] Thread has been released
[2022-10-16 13:47:34.572870] [0x0000bfcc] [info] Thread has been released
[2022-10-16 13:47:34.574872] [0x00003f34] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.575871] [0x0000bfd0] [info] Thread has been released
[2022-10-16 13:47:34.577871] [0x0000bfd4] [info] Thread has been released
[2022-10-16 13:47:34.580873] [0x000039d0] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.586871] [0x0000bfd8] [info] Thread has been released
[2022-10-16 13:47:34.587871] [0x0000c2d4] [info] Thread has been released
[2022-10-16 13:47:34.591871] [0x0000bfdc] [info] Thread has been released
[2022-10-16 13:47:34.593872] [0x0000bfe0] [info] Thread has been released
[2022-10-16 13:47:34.596873] [0x00003a70] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.596873] [0x00004428] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.601872] [0x0000bfe4] [info] Thread has been released
[2022-10-16 13:47:34.602872] [0x0000bfe8] [info] Thread has been released
[2022-10-16 13:47:34.603872] [0x0000c300] [info] Thread has been released
[2022-10-16 13:47:34.604872] [0x0000bfec] [info] Thread has been released
[2022-10-16 13:47:34.607872] [0x00002edc] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.610870] [0x0000bff0] [info] Thread has been released
[2022-10-16 13:47:34.612873] [0x0000bff4] [info] Thread has been released
[2022-10-16 13:47:34.613873] [0x0000bff8] [info] Thread has been released
[2022-10-16 13:47:34.617874] [0x0000bffc] [info] Thread has been released
[2022-10-16 13:47:34.620872] [0x00003ca4] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.625875] [0x00007b00] [info] Thread has been released
[2022-10-16 13:47:34.629872] [0x00004264] [info] Thread done working, exiting thread and returning data
[2022-10-16 13:47:34.632875] [0x0000c008] [info] Thread has been released
[2022-10-16 13:47:34.633874] [0x0000c00c] [info] Thread has been released
[2022-10-16 13:47:34.635872] [0x0000c010] [info] Thread has been released
[2022-10-16 13:47:34.638871] [0x000045b0] [info] Thread done working, exiting thread and returning data
